HPfr15.txt-0047	sentier              	Il les amena à la lisière de la forêt, leva sa lampe et montra un étroit sentier qui serpentait parmi les gros arbres noirs.
HPfr15.txt-0048	altérer              	demanda Malefoy sans parvenir à dissimuler la terreur qui altérait sa voix.
HPfr15.txt-0049	trouillard           	D’accord, mais je te préviens, c’est un trouillard, dit Hagrid.
HPfr15.txt-0050	bifurcation          	Un peu plus loin, ils atteignirent une bifurcation.
HPfr15.txt-0051	rivé                	Ils avancèrent sans bruit, les yeux rivés au sol.
HPfr15.txt-0052	souche               	Ils passèrent devant une souche d’arbre couverte de mousse.
HPfr15.txt-0053	couverte             	Ils passèrent devant une souche d’arbre couverte de mousse.
HPfr15.txt-0054	mousse               	Ils passèrent devant une souche d’arbre couverte de mousse.
HPfr15.txt-0055	sinueux              	Il y avait toujours des taches de sang de licorne le long du chemin sinueux.
HPfr15.txt-0056	derrièr              	CACHEZ-VOUS DERRIÈRE CET ARBRE !
HPfr15.txt-0057	cet                  	CACHEZ-VOUS DERRIÈRE CET ARBRE !
HPfr15.txt-0058	sombrement           	Ça, ce n’était ni un loup-garou, ni une licorne, dit sombrement Hagrid.
HPfr15.txt-0059	guetter              	Ils avancèrent plus lentement, guettant le moindre bruit.
HPfr15.txt-0060	rougeâtre            	Jusqu’à la taille, c’était un homme, mais au-dessous, c’était un cheval, couleur noisette, avec une longue queue aux reflets rougeâtres.
HPfr15.txt-0061	centaure             	Il s’avança et serra la main du centaure.
HPfr15.txt-0062	bonsoir              	– Bonsoir, dit Ronan.
HPfr15.txt-0063	innocent             	– Les innocents sont toujours les premières victimes, dit-il.
HPfr15.txt-0064	inhabituel           	Quelque chose d’inhabituel ?
HPfr15.txt-0065	bavard               	L’ennui, c’est qu’ils ne sont pas très bavards.
HPfr15.txt-0066	sabot                	Non, ça ne ressemblait pas à des bruits de sabots.
HPfr15.txt-0067	agripper             	Soudain, Hermione agrippa le bras de Hagrid.
HPfr15.txt-0068	rechercher           	Je viendrai vous rechercher.
HPfr15.txt-0069	égal                 	– Si c’est Malefoy, ça m’est égal, mais s’il est arrivé quelque chose à Neville…
HPfr15.txt-0070	ouïe                 	Leur ouïe s’affinait, Harry percevait chaque souffle de vent, chaque craquement de brindille.
HPfr15.txt-0071	affiner              	Leur ouïe s’affinait, Harry percevait chaque souffle de vent, chaque craquement de brindille.
