HPfrb1ch17-0059	dette          	Le professeur Rogue ne supportait pas d’avoir une dette envers ton père…
HPfrb1ch17-0060	intelligence   	Mon intelligence me surprend moi
HPfrb1ch17-0061	priver         	Depuis, j’ai peur d’en manger, mais toi, ne t’en prive surtout pas !
HPfrb1ch17-0062	caramel        	Enfin, je pense que je ne risque rien avec un caramel.
HPfrb1ch17-0063	tousser        	Puis il se mit à tousser.
HPfrb1ch17-0064	reposer        	– Je me repose, regardez, je suis couché.
HPfrb1ch17-0065	circonstance   	C’était une de ces rares circonstances où la vérité paraît encore plus étrange et plus passionnante que les rumeurs.
HPfrb1ch17-0066	détailler      	Harry leur fit un récit détaillé, sans rien omettre : Quirrell, le miroir, la Pierre, Voldemort.
HPfrb1ch17-0067	omettre        	Harry leur fit un récit détaillé, sans rien omettre : Quirrell, le miroir, la Pierre, Voldemort.
HPfrb1ch17-0068	public         	Ron et Hermione, bon public, l’écoutaient en étouffant des exclamations aux bons moments.
HPfrb1ch17-0069	cinglé         	– J’ai toujours dit qu’il était cinglé, remarqua Ron qui semblait impressionné de voir à quel point son héros était fou.
HPfrb1ch17-0070	ranimer        	J’ai ranimé Ron – il m’a fallu un bout de temps – et on s’est précipités vers la volière pour envoyer un mot à Dumbledore.
HPfrb1ch17-0071	projet         	Il doit savoir à peu près tout ce qui se passe à l’école et je pense qu’il devait se douter de notre projet, mais au lieu d’essayer de nous arrêter, il a cherché à nous aider.
HPfrb1ch17-0072	dingue         	– Décidément, Dumbledore est vraiment dingue, dit Ron avec fierté.
HPfrb1ch17-0073	quart          	Ça fait presque un quart d’heure, maintenant.
HPfrb1ch17-0074	réplique       	DEHORS ! dit-elle d’un ton sans réplique.
HPfrb1ch17-0075	pincé          	– Le professeur Dumbledore a dit que tu avais le droit d’y assister, dit-elle d’un ton pincé, comme si elle était persuadée que Dumbledore ignorait les risques que peut présenter un festin.
HPfrb1ch17-0076	rapport        	Comme d’habitude, il paraissait trop grand par rapport à la pièce.
HPfrb1ch17-0077	chevet         	Il s’assit au chevet de Harry et fondit en larmes.
