HPfrb1ch11-0001	acier          	Le temps froid de novembre enveloppa de glace les montagnes qui entouraient l’école et la surface du lac prit une couleur d’acier.
HPfrb1ch11-0002	givre          	Chaque matin, le sol était couvert de givre et l’on voyait Hagrid qui dégivrait les balais sur le terrain de Quidditch.
HPfrb1ch11-0003	dégivrer       	Chaque matin, le sol était couvert de givre et l’on voyait Hagrid qui dégivrait les balais sur le terrain de Quidditch.
HPfrb1ch11-0004	emmitoufler    	Il était emmitouflé dans un long manteau en peau de taupe, et portait des gants en peau de lapin et d’énormes bottes en peau de castor.
HPfrb1ch11-0005	taupe          	Il était emmitouflé dans un long manteau en peau de taupe, et portait des gants en peau de lapin et d’énormes bottes en peau de castor.
HPfrb1ch11-0006	castor         	Il était emmitouflé dans un long manteau en peau de taupe, et portait des gants en peau de lapin et d’énormes bottes en peau de castor.
HPfrb1ch11-0007	championnat    	Si Gryffondor gagnait, son équipe prendrait la deuxième place du championnat.
HPfrb1ch11-0008	arme           	Il était devenu l’arme secrète de l’équipe et Dubois le gardait soigneusement à l’écart.
HPfrb1ch11-0009	matelas        	Harry ne savait pas ce qu’il y avait de pire pour lui : ceux qui lui affirmaient qu’il allait être brillant, ou ceux qui lui promettaient de le suivre avec un matelas pour amortir sa chute.
HPfrb1ch11-0010	amortir        	Harry ne savait pas ce qu’il y avait de pire pour lui : ceux qui lui affirmaient qu’il allait être brillant, ou ceux qui lui promettaient de le suivre avec un matelas pour amortir sa chute.
HPfrb1ch11-0011	compenser      	Elle l’avait aidé à faire ses devoirs pour compenser le temps qu’il passait à s’entraîner et elle lui avait également prêté Le Quidditch à travers les âges dont la lecture s’était révélée très instructive.
HPfrb1ch11-0012	lecture        	Elle l’avait aidé à faire ses devoirs pour compenser le temps qu’il passait à s’entraîner et elle lui avait également prêté Le Quidditch à travers les âges dont la lecture s’était révélée très instructive.
HPfrb1ch11-0013	instructif     	Elle l’avait aidé à faire ses devoirs pour compenser le temps qu’il passait à s’entraîner et elle lui avait également prêté Le Quidditch à travers les âges dont la lecture s’était révélée très instructive.
